name,*log_k2.y1,conc_mM.par1,status,class
EDFP,-0.765550246,0.51,1,ester
EDFP,-1.163673537,1,1,ester
EDFP,-1.47539212,1.49,1,ester
EFOP,-1.125128867,0.51,1,ester
HSAN,0.44545721,0.51,1,nitrile
HSAN,0.006923196,1,1,nitrile
HSAN,-0.552265334,1.49,1,nitrile
MDFAc,-1.580587353,0.51,1,ester
MDFAc,-1.580587353,0.51,1,ester
MDFAc,-1.560032971,1.49,1,ester
MTFB,0.403925086,0.51,1,ester
